th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
daytime,1.15,0.8,1,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.8,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.8,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.8,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.9,1,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.9,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.9,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.9,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,1.0,1,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,1.0,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,1.0,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,1.0,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,0.1,1,2,0.942,0.907,0.976,0.974,6.707,23.564,0.0
daytime,1.2,0.1,3,2,0.94,0.895,0.985,0.982,11.138,27.879,0.0
daytime,1.2,0.1,5,2,0.934,0.883,0.985,0.982,10.672,24.964,0.0
daytime,1.2,0.1,7,2,0.932,0.879,0.985,0.982,13.343,31.921,0.0
daytime,1.2,0.2,1,2,0.924,0.847,1.0,1.0,6.8,22.017,0.0
daytime,1.2,0.2,3,2,0.914,0.827,1.0,1.0,10.676,29.136,0.0
daytime,1.2,0.2,5,2,0.908,0.815,1.0,1.0,10.059,21.568,0.4
daytime,1.2,0.2,7,2,0.904,0.807,1.0,1.0,11.923,26.532,0.4
daytime,1.2,0.3,1,2,0.888,0.775,1.0,1.0,7.618,20.702,0.0
daytime,1.2,0.3,3,2,0.886,0.771,1.0,1.0,12.182,24.337,0.4
daytime,1.2,0.3,5,2,0.87,0.739,1.0,1.0,11.056,18.538,1.0
daytime,1.2,0.3,7,2,0.866,0.731,1.0,1.0,11.554,21.161,1.0
daytime,1.2,0.4,1,2,0.822,0.641,1.0,1.0,11.3,26.395,0.0
daytime,1.2,0.4,3,2,0.814,0.626,1.0,1.0,16.106,30.362,1.7
daytime,1.2,0.4,5,2,0.806,0.609,1.0,1.0,18.08,32.455,2.5
daytime,1.2,0.4,7,2,0.796,0.588,1.0,1.0,16.239,27.202,1.9
daytime,1.2,0.5,1,2,0.706,0.406,1.0,1.0,17.147,33.985,0.9
daytime,1.2,0.5,3,2,0.696,0.386,1.0,1.0,16.123,28.053,1.3
daytime,1.2,0.5,5,2,0.686,0.366,1.0,1.0,16.928,29.85,1.8
daytime,1.2,0.5,7,2,0.678,0.349,1.0,1.0,20.725,41.221,2.5
daytime,1.2,0.6,1,2,0.596,0.183,1.0,1.0,8.767,16.676,0.2
daytime,1.2,0.6,3,2,0.59,0.171,1.0,1.0,8.039,13.399,1.3
daytime,1.2,0.6,5,2,0.586,0.163,1.0,1.0,7.733,12.554,1.4
daytime,1.2,0.6,7,2,0.584,0.159,1.0,1.0,17.817,29.896,2.8
daytime,1.2,0.7,1,2,0.51,0.008,1.0,0.4,600000042.6,0.0,600000042.6
daytime,1.2,0.7,3,2,0.508,0.004,1.0,0.2,799999999.2,0.0,799999999.2
daytime,1.2,0.7,5,2,0.508,0.004,1.0,0.2,799999999.2,0.0,799999999.2
daytime,1.2,0.7,7,2,0.508,0.004,1.0,0.2,799999999.2,0.0,799999999.2
daytime,1.2,0.8,1,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,0.8,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,0.8,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,0.8,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,0.9,1,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,0.9,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,0.9,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,0.9,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,1.0,1,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,1.0,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,1.0,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,1.0,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,0.1,1,2,0.88,0.783,0.976,0.97,5.301,17.345,0.0
simple,1.0,0.1,3,2,0.874,0.771,0.976,0.97,7.858,17.052,0.0
simple,1.0,0.1,5,2,0.874,0.767,0.98,0.975,8.237,16.898,0.0
simple,1.0,0.1,7,2,0.87,0.759,0.98,0.974,9.526,19.963,0.2
simple,1.0,0.2,1,2,0.844,0.686,1.0,1.0,2.669,9.738,0.0
simple,1.0,0.2,3,2,0.842,0.681,1.0,1.0,7.152,17.695,0.0
simple,1.0,0.2,5,2,0.842,0.681,1.0,1.0,7.891,17.947,0.0
simple,1.0,0.2,7,2,0.838,0.674,1.0,1.0,8.499,18.928,0.0
simple,1.0,0.3,1,2,0.79,0.577,1.0,1.0,4.261,15.773,0.0
simple,1.0,0.3,3,2,0.786,0.569,1.0,1.0,6.159,13.608,0.0
simple,1.0,0.3,5,2,0.782,0.561,1.0,1.0,7.084,14.222,0.0
