th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
simple,1.05,0.6,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,0.6,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,0.7,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,0.7,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,0.7,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,0.8,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,0.8,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,0.8,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,0.9,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,0.9,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,0.9,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,1.0,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,1.0,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,1.0,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.1,0.1,3,2,0.873,0.745,1.0,1.0,4.826,7.623,0.4
simple,1.1,0.1,5,2,0.823,0.646,1.0,1.0,4.843,7.986,0.6
simple,1.1,0.1,7,2,0.793,0.587,1.0,1.0,5.472,8.267,0.8
simple,1.1,0.2,3,2,0.623,0.245,1.0,1.0,0.489,1.383,0.0
simple,1.1,0.2,5,2,0.62,0.238,1.0,1.0,0.444,1.257,0.0
simple,1.1,0.2,7,2,0.617,0.232,1.0,1.0,0.0,0.0,0.0
simple,1.1,0.3,3,2,0.617,0.232,1.0,1.0,0.183,0.402,0.0
simple,1.1,0.3,5,2,0.617,0.232,1.0,1.0,0.333,0.593,0.0
simple,1.1,0.3,7,2,0.617,0.232,1.0,1.0,0.675,1.295,0.0
simple,1.1,0.4,3,2,0.603,0.206,1.0,1.0,2.56,4.161,0.6
simple,1.1,0.4,5,2,0.603,0.206,1.0,1.0,3.649,4.274,2.9
simple,1.1,0.4,7,2,0.603,0.206,1.0,1.0,3.771,4.443,2.7
simple,1.1,0.5,3,2,0.577,0.155,1.0,1.0,5.096,7.737,1.6
simple,1.1,0.5,5,2,0.57,0.141,1.0,1.0,4.547,5.93,2.1
simple,1.1,0.5,7,2,0.563,0.128,1.0,1.0,3.233,3.556,2.0
simple,1.1,0.6,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
