alpha,th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
0.333,daytime,1.2,0.2,3,2,0.92,0.841,1.0,1.0,9.861,21.432,1.4
0.333,daytime,1.2,0.2,5,2,0.908,0.818,1.0,1.0,11.924,24.976,1.5
0.333,daytime,1.2,0.2,7,2,0.902,0.805,1.0,1.0,11.708,24.699,1.4
0.333,daytime,1.2,0.3,3,2,0.872,0.747,1.0,1.0,14.026,29.827,1.7
0.333,daytime,1.2,0.3,5,2,0.858,0.718,1.0,1.0,13.826,27.077,2.0
0.333,daytime,1.2,0.3,7,2,0.852,0.707,1.0,1.0,15.864,31.15,2.8
0.333,daytime,1.2,0.4,3,2,0.796,0.594,1.0,1.0,15.556,26.668,6.3
0.333,daytime,1.2,0.4,5,2,0.788,0.577,1.0,1.0,16.212,25.932,7.7
0.333,daytime,1.2,0.4,7,2,0.768,0.537,1.0,1.0,17.07,28.183,5.5
0.333,daytime,1.2,0.5,3,2,0.662,0.326,1.0,1.0,19.697,36.904,5.1
0.333,daytime,1.2,0.5,5,2,0.654,0.31,1.0,1.0,21.511,39.222,8.4
0.333,daytime,1.2,0.5,7,2,0.646,0.294,1.0,1.0,20.206,36.588,6.4
0.333,daytime,1.2,0.6,3,2,0.558,0.11,1.0,1.0,30.58,34.901,23.0
0.333,daytime,1.2,0.6,5,2,0.554,0.101,1.0,1.0,28.847,31.82,23.0
0.333,daytime,1.2,0.6,7,2,0.552,0.096,1.0,1.0,29.123,31.836,23.5
0.333,daytime,1.2,0.7,3,2,0.522,0.038,1.0,0.8,200000035.667,39.265,200000023.6
0.333,daytime,1.2,0.7,5,2,0.52,0.033,1.0,0.8,200000023.6,22.2,200000023.6
0.333,daytime,1.2,0.7,7,2,0.52,0.033,1.0,0.8,200000023.6,22.2,200000023.6
0.333,daytime,1.2,0.8,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.2,0.8,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.2,0.8,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.2,0.9,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.2,0.9,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.2,0.9,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.2,1.0,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.2,1.0,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.2,1.0,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.0,0.1,3,2,0.874,0.774,0.976,0.969,5.501,12.004,0.0
0.333,simple,1.0,0.1,5,2,0.87,0.762,0.98,0.975,6.137,12.378,0.0
0.333,simple,1.0,0.1,7,2,0.866,0.753,0.98,0.974,6.425,12.672,0.0
0.333,simple,1.0,0.2,3,2,0.822,0.646,1.0,1.0,6.806,15.243,0.0
0.333,simple,1.0,0.2,5,2,0.816,0.634,1.0,1.0,7.846,16.169,0.0
0.333,simple,1.0,0.2,7,2,0.814,0.63,1.0,1.0,8.253,16.468,0.0
0.333,simple,1.0,0.3,3,2,0.762,0.522,1.0,1.0,6.101,14.069,0.0
0.333,simple,1.0,0.3,5,2,0.76,0.518,1.0,1.0,7.225,14.815,0.0
0.333,simple,1.0,0.3,7,2,0.76,0.518,1.0,1.0,7.217,14.792,0.0
0.333,simple,1.0,0.4,3,2,0.676,0.348,1.0,1.0,12.444,27.904,0.8
0.333,simple,1.0,0.4,5,2,0.672,0.341,1.0,1.0,14.52,31.058,1.5
0.333,simple,1.0,0.4,7,2,0.664,0.325,1.0,1.0,12.96,26.025,2.1
0.333,simple,1.0,0.5,3,2,0.598,0.195,1.0,1.0,14.843,22.526,8.8
0.333,simple,1.0,0.5,5,2,0.594,0.185,1.0,1.0,12.614,15.067,9.2
0.333,simple,1.0,0.5,7,2,0.594,0.185,1.0,1.0,14.178,13.967,9.2
0.333,simple,1.0,0.6,3,2,0.54,0.075,1.0,1.0,16.22,22.873,0.6
0.333,simple,1.0,0.6,5,2,0.54,0.075,1.0,1.0,16.58,23.309,0.8
0.333,simple,1.0,0.6,7,2,0.54,0.075,1.0,1.0,24.54,23.242,8.8
0.333,simple,1.0,0.7,3,2,0.518,0.029,1.0,0.8,200000001.6,0.0,200000001.6
0.333,simple,1.0,0.7,5,2,0.518,0.029,1.0,0.8,200000001.6,0.0,200000001.6
0.333,simple,1.0,0.7,7,2,0.518,0.029,1.0,0.8,200000001.6,0.0,200000001.6
0.333,simple,1.0,0.8,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.0,0.8,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.0,0.8,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.0,0.9,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.0,0.9,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.0,0.9,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.0,1.0,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.0,1.0,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.0,1.0,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.05,0.1,3,2,0.876,0.77,0.985,0.978,7.241,17.576,0.0
0.333,simple,1.05,0.1,5,2,0.874,0.762,0.988,0.984,9.391,25.264,0.0
0.333,simple,1.05,0.1,7,2,0.87,0.753,0.988,0.984,10.113,25.839,0.0
0.333,simple,1.05,0.2,3,2,0.814,0.629,1.0,1.0,6.125,13.425,0.0
0.333,simple,1.05,0.2,5,2,0.81,0.621,1.0,1.0,7.152,14.384,0.0
0.333,simple,1.05,0.2,7,2,0.81,0.621,1.0,1.0,8.604,18.76,0.0
0.333,simple,1.05,0.3,3,2,0.76,0.519,1.0,1.0,6.148,14.261,0.0
0.333,simple,1.05,0.3,5,2,0.758,0.514,1.0,1.0,8.325,19.459,0.0
0.333,simple,1.05,0.3,7,2,0.758,0.514,1.0,1.0,8.317,19.436,0.0
0.333,simple,1.05,0.4,3,2,0.666,0.327,1.0,1.0,10.756,24.064,0.8
0.333,simple,1.05,0.4,5,2,0.662,0.321,1.0,1.0,11.038,23.068,1.6
0.333,simple,1.05,0.4,7,2,0.654,0.305,1.0,1.0,7.474,11.973,1.8
0.333,simple,1.05,0.5,3,2,0.592,0.181,1.0,1.0,13.021,16.052,9.2
0.333,simple,1.05,0.5,5,2,0.59,0.176,1.0,1.0,12.894,15.165,10.0
0.333,simple,1.05,0.5,7,2,0.584,0.165,1.0,1.0,11.43,12.089,9.0
0.333,simple,1.05,0.6,3,2,0.54,0.075,1.0,1.0,16.22,22.873,0.6
0.333,simple,1.05,0.6,5,2,0.54,0.075,1.0,1.0,16.58,23.309,0.8
0.333,simple,1.05,0.6,7,2,0.54,0.075,1.0,1.0,24.54,23.242,8.8
0.333,simple,1.05,0.7,3,2,0.518,0.029,1.0,0.8,200000001.6,0.0,200000001.6
0.333,simple,1.05,0.7,5,2,0.518,0.029,1.0,0.8,200000001.6,0.0,200000001.6
0.333,simple,1.05,0.7,7,2,0.518,0.029,1.0,0.8,200000001.6,0.0,200000001.6
0.333,simple,1.05,0.8,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.05,0.8,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.05,0.8,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.05,0.9,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.05,0.9,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.05,0.9,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.05,1.0,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.05,1.0,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.05,1.0,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.1,0.1,3,2,0.872,0.758,0.988,0.984,7.309,17.644,0.0
0.333,simple,1.1,0.1,5,2,0.868,0.75,0.988,0.984,8.533,18.667,0.0
0.333,simple,1.1,0.1,7,2,0.864,0.742,0.988,0.984,9.384,19.399,0.0
0.333,simple,1.1,0.2,3,2,0.812,0.624,1.0,1.0,7.234,17.671,0.0
0.333,simple,1.1,0.2,5,2,0.808,0.616,1.0,1.0,8.306,18.419,0.0
0.333,simple,1.1,0.2,7,2,0.806,0.613,1.0,1.0,7.654,15.382,0.0
