,cv_step,th_majority,th_mode,th_multiplier,mk_size,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
561,1,0.9,daytime,1.1,3,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
562,1,0.9,daytime,1.1,5,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
563,1,0.9,daytime,1.1,7,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
564,1,0.9,daytime,1.15,3,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
565,1,0.9,daytime,1.15,5,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
566,1,0.9,daytime,1.15,7,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
567,1,0.9,daytime,1.2,3,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
568,1,0.9,daytime,1.2,5,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
569,1,0.9,daytime,1.2,7,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
570,1,1.0,simple,1.0,3,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
571,1,1.0,simple,1.0,5,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
572,1,1.0,simple,1.0,7,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
573,1,1.0,simple,1.05,3,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
574,1,1.0,simple,1.05,5,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
575,1,1.0,simple,1.05,7,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
576,1,1.0,simple,1.1,3,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
577,1,1.0,simple,1.1,5,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
578,1,1.0,simple,1.1,7,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
579,1,1.0,simple,1.15,3,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
580,1,1.0,simple,1.15,5,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
581,1,1.0,simple,1.15,7,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
582,1,1.0,simple,1.2,3,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
583,1,1.0,simple,1.2,5,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
584,1,1.0,simple,1.2,7,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
585,1,1.0,daytime,1.0,3,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
586,1,1.0,daytime,1.0,5,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
587,1,1.0,daytime,1.0,7,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
588,1,1.0,daytime,1.05,3,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
589,1,1.0,daytime,1.05,5,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
590,1,1.0,daytime,1.05,7,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
591,1,1.0,daytime,1.1,3,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
592,1,1.0,daytime,1.1,5,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
593,1,1.0,daytime,1.1,7,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
594,1,1.0,daytime,1.15,3,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
595,1,1.0,daytime,1.15,5,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
596,1,1.0,daytime,1.15,7,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
597,1,1.0,daytime,1.2,3,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
598,1,1.0,daytime,1.2,5,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
599,1,1.0,daytime,1.2,7,0.517,0.0,1.0,0.0,999999999.0,0.0,999999999.0
600,2,0.1,simple,1.0,3,0.883,0.774,1.0,1.0,2.583,3.978,0.0
601,2,0.1,simple,1.0,5,0.833,0.677,1.0,1.0,1.81,2.648,0.0
602,2,0.1,simple,1.0,7,0.833,0.677,1.0,1.0,1.952,3.031,0.0
603,2,0.1,simple,1.05,3,0.883,0.774,1.0,1.0,2.792,4.193,0.0
604,2,0.1,simple,1.05,5,0.833,0.677,1.0,1.0,2.095,3.176,0.0
605,2,0.1,simple,1.05,7,0.833,0.677,1.0,1.0,3.429,5.852,0.0
606,2,0.1,simple,1.1,3,0.883,0.774,1.0,1.0,3.0,4.262,0.0
607,2,0.1,simple,1.1,5,0.817,0.645,1.0,1.0,3.4,6.248,0.0
608,2,0.1,simple,1.1,7,0.783,0.581,1.0,1.0,3.111,5.675,0.0
609,2,0.1,simple,1.15,3,0.833,0.677,1.0,1.0,2.524,4.479,0.0
610,2,0.1,simple,1.15,5,0.8,0.613,1.0,1.0,3.947,7.251,0.0
611,2,0.1,simple,1.15,7,0.717,0.452,1.0,1.0,1.643,3.014,0.0
612,2,0.1,simple,1.2,3,0.8,0.613,1.0,1.0,3.579,6.443,0.0
613,2,0.1,simple,1.2,5,0.783,0.581,1.0,1.0,4.444,7.38,0.5
614,2,0.1,simple,1.2,7,0.717,0.452,1.0,1.0,2.143,3.583,0.0
615,2,0.1,daytime,1.0,3,0.867,0.806,0.931,0.926,2.92,6.657,0.0
616,2,0.1,daytime,1.0,5,0.883,0.774,1.0,1.0,1.875,3.8,0.0
617,2,0.1,daytime,1.0,7,0.883,0.774,1.0,1.0,2.542,5.323,0.0
618,2,0.1,daytime,1.05,3,0.867,0.806,0.931,0.926,3.12,6.761,0.0
619,2,0.1,daytime,1.05,5,0.867,0.742,1.0,1.0,1.696,3.141,0.0
620,2,0.1,daytime,1.05,7,0.867,0.742,1.0,1.0,1.87,3.417,0.0
621,2,0.1,daytime,1.1,3,0.85,0.774,0.931,0.923,1.958,3.725,0.0
622,2,0.1,daytime,1.1,5,0.867,0.742,1.0,1.0,1.696,3.141,0.0
623,2,0.1,daytime,1.1,7,0.867,0.742,1.0,1.0,1.87,3.417,0.0
624,2,0.1,daytime,1.15,3,0.867,0.774,0.966,0.96,2.042,3.702,0.0
625,2,0.1,daytime,1.15,5,0.85,0.71,1.0,1.0,2.0,3.344,0.0
626,2,0.1,daytime,1.15,7,0.833,0.677,1.0,1.0,1.81,2.954,0.0
627,2,0.1,daytime,1.2,3,0.883,0.774,1.0,1.0,2.125,3.745,0.0
628,2,0.1,daytime,1.2,5,0.85,0.71,1.0,1.0,2.364,3.51,0.0
629,2,0.1,daytime,1.2,7,0.817,0.645,1.0,1.0,1.6,2.691,0.0
630,2,0.2,simple,1.0,3,0.633,0.29,1.0,1.0,0.111,0.314,0.0
631,2,0.2,simple,1.0,5,0.633,0.29,1.0,1.0,0.111,0.314,0.0
632,2,0.2,simple,1.0,7,0.617,0.258,1.0,1.0,0.0,0.0,0.0
633,2,0.2,simple,1.05,3,0.633,0.29,1.0,1.0,0.111,0.314,0.0
634,2,0.2,simple,1.05,5,0.633,0.29,1.0,1.0,0.111,0.314,0.0
635,2,0.2,simple,1.05,7,0.617,0.258,1.0,1.0,0.0,0.0,0.0
636,2,0.2,simple,1.1,3,0.633,0.29,1.0,1.0,0.222,0.629,0.0
637,2,0.2,simple,1.1,5,0.617,0.258,1.0,1.0,0.0,0.0,0.0
638,2,0.2,simple,1.1,7,0.617,0.258,1.0,1.0,0.0,0.0,0.0
639,2,0.2,simple,1.15,3,0.617,0.258,1.0,1.0,0.0,0.0,0.0
640,2,0.2,simple,1.15,5,0.617,0.258,1.0,1.0,0.0,0.0,0.0
641,2,0.2,simple,1.15,7,0.617,0.258,1.0,1.0,0.0,0.0,0.0
642,2,0.2,simple,1.2,3,0.617,0.258,1.0,1.0,0.0,0.0,0.0
643,2,0.2,simple,1.2,5,0.617,0.258,1.0,1.0,0.0,0.0,0.0
644,2,0.2,simple,1.2,7,0.617,0.258,1.0,1.0,0.0,0.0,0.0
645,2,0.2,daytime,1.0,3,0.683,0.387,1.0,1.0,1.333,2.56,0.0
646,2,0.2,daytime,1.0,5,0.683,0.387,1.0,1.0,2.25,4.265,0.0
647,2,0.2,daytime,1.0,7,0.633,0.29,1.0,1.0,1.111,3.143,0.0
648,2,0.2,daytime,1.05,3,0.683,0.387,1.0,1.0,1.667,3.375,0.0
649,2,0.2,daytime,1.05,5,0.65,0.323,1.0,1.0,1.3,3.579,0.0
650,2,0.2,daytime,1.05,7,0.633,0.29,1.0,1.0,1.222,3.457,0.0
651,2,0.2,daytime,1.1,3,0.683,0.387,1.0,1.0,1.667,3.375,0.0
652,2,0.2,daytime,1.1,5,0.633,0.29,1.0,1.0,0.111,0.314,0.0
653,2,0.2,daytime,1.1,7,0.617,0.258,1.0,1.0,0.0,0.0,0.0
654,2,0.2,daytime,1.15,3,0.667,0.355,1.0,1.0,2.818,7.42,0.0
655,2,0.2,daytime,1.15,5,0.633,0.29,1.0,1.0,0.111,0.314,0.0
656,2,0.2,daytime,1.15,7,0.617,0.258,1.0,1.0,0.0,0.0,0.0
657,2,0.2,daytime,1.2,3,0.65,0.323,1.0,1.0,0.6,1.281,0.0
658,2,0.2,daytime,1.2,5,0.617,0.258,1.0,1.0,0.0,0.0,0.0
659,2,0.2,daytime,1.2,7,0.617,0.258,1.0,1.0,0.0,0.0,0.0
660,2,0.3,simple,1.0,3,0.617,0.258,1.0,1.0,0.0,0.0,0.0
661,2,0.3,simple,1.0,5,0.617,0.258,1.0,1.0,0.0,0.0,0.0
662,2,0.3,simple,1.0,7,0.617,0.258,1.0,1.0,0.0,0.0,0.0
663,2,0.3,simple,1.05,3,0.617,0.258,1.0,1.0,0.0,0.0,0.0
664,2,0.3,simple,1.05,5,0.617,0.258,1.0,1.0,0.0,0.0,0.0
665,2,0.3,simple,1.05,7,0.617,0.258,1.0,1.0,0.0,0.0,0.0
666,2,0.3,simple,1.1,3,0.617,0.258,1.0,1.0,0.0,0.0,0.0
667,2,0.3,simple,1.1,5,0.617,0.258,1.0,1.0,0.125,0.331,0.0
668,2,0.3,simple,1.1,7,0.617,0.258,1.0,1.0,0.125,0.331,0.0
669,2,0.3,simple,1.15,3,0.617,0.258,1.0,1.0,0.5,1.323,0.0
670,2,0.3,simple,1.15,5,0.617,0.258,1.0,1.0,0.5,1.323,0.0
671,2,0.3,simple,1.15,7,0.617,0.258,1.0,1.0,0.375,0.992,0.0
672,2,0.3,simple,1.2,3,0.617,0.258,1.0,1.0,0.5,1.323,0.0
673,2,0.3,simple,1.2,5,0.617,0.258,1.0,1.0,0.625,1.317,0.0
674,2,0.3,simple,1.2,7,0.617,0.258,1.0,1.0,0.5,1.0,0.0
675,2,0.3,daytime,1.0,3,0.617,0.258,1.0,1.0,0.0,0.0,0.0
676,2,0.3,daytime,1.0,5,0.617,0.258,1.0,1.0,0.0,0.0,0.0
677,2,0.3,daytime,1.0,7,0.617,0.258,1.0,1.0,0.0,0.0,0.0
678,2,0.3,daytime,1.05,3,0.617,0.258,1.0,1.0,0.0,0.0,0.0
679,2,0.3,daytime,1.05,5,0.617,0.258,1.0,1.0,0.0,0.0,0.0
680,2,0.3,daytime,1.05,7,0.617,0.258,1.0,1.0,0.0,0.0,0.0
681,2,0.3,daytime,1.1,3,0.617,0.258,1.0,1.0,0.0,0.0,0.0
682,2,0.3,daytime,1.1,5,0.617,0.258,1.0,1.0,0.0,0.0,0.0
683,2,0.3,daytime,1.1,7,0.617,0.258,1.0,1.0,0.0,0.0,0.0
684,2,0.3,daytime,1.15,3,0.617,0.258,1.0,1.0,0.0,0.0,0.0
685,2,0.3,daytime,1.15,5,0.617,0.258,1.0,1.0,0.0,0.0,0.0
686,2,0.3,daytime,1.15,7,0.617,0.258,1.0,1.0,0.0,0.0,0.0
687,2,0.3,daytime,1.2,3,0.617,0.258,1.0,1.0,0.0,0.0,0.0
688,2,0.3,daytime,1.2,5,0.617,0.258,1.0,1.0,0.0,0.0,0.0
689,2,0.3,daytime,1.2,7,0.617,0.258,1.0,1.0,0.0,0.0,0.0
690,2,0.4,simple,1.0,3,0.617,0.258,1.0,1.0,0.0,0.0,0.0
691,2,0.4,simple,1.0,5,0.617,0.258,1.0,1.0,0.0,0.0,0.0
692,2,0.4,simple,1.0,7,0.617,0.258,1.0,1.0,0.25,0.433,0.0
693,2,0.4,simple,1.05,3,0.617,0.258,1.0,1.0,0.0,0.0,0.0
694,2,0.4,simple,1.05,5,0.617,0.258,1.0,1.0,0.125,0.331,0.0
695,2,0.4,simple,1.05,7,0.6,0.226,1.0,1.0,0.286,0.452,0.0
696,2,0.4,simple,1.1,3,0.6,0.226,1.0,1.0,0.0,0.0,0.0
697,2,0.4,simple,1.1,5,0.6,0.226,1.0,1.0,0.286,0.7,0.0
698,2,0.4,simple,1.1,7,0.6,0.226,1.0,1.0,0.571,0.728,0.0
699,2,0.4,simple,1.15,3,0.6,0.226,1.0,1.0,1.143,2.416,0.0
700,2,0.4,simple,1.15,5,0.6,0.226,1.0,1.0,4.0,9.008,0.0
701,2,0.4,simple,1.15,7,0.6,0.226,1.0,1.0,4.429,8.91,0.0
702,2,0.4,simple,1.2,3,0.6,0.226,1.0,1.0,2.0,3.162,0.0
703,2,0.4,simple,1.2,5,0.6,0.226,1.0,1.0,6.429,9.194,0.0
704,2,0.4,simple,1.2,7,0.6,0.226,1.0,1.0,6.714,9.498,0.0
705,2,0.4,daytime,1.0,3,0.617,0.258,1.0,1.0,0.0,0.0,0.0
706,2,0.4,daytime,1.0,5,0.617,0.258,1.0,1.0,0.0,0.0,0.0
707,2,0.4,daytime,1.0,7,0.617,0.258,1.0,1.0,0.125,0.331,0.0
708,2,0.4,daytime,1.05,3,0.617,0.258,1.0,1.0,0.0,0.0,0.0
709,2,0.4,daytime,1.05,5,0.617,0.258,1.0,1.0,0.0,0.0,0.0
710,2,0.4,daytime,1.05,7,0.617,0.258,1.0,1.0,0.125,0.331,0.0
711,2,0.4,daytime,1.1,3,0.617,0.258,1.0,1.0,0.0,0.0,0.0
712,2,0.4,daytime,1.1,5,0.617,0.258,1.0,1.0,1.5,3.969,0.0
713,2,0.4,daytime,1.1,7,0.6,0.226,1.0,1.0,0.143,0.35,0.0
714,2,0.4,daytime,1.15,3,0.617,0.258,1.0,1.0,0.0,0.0,0.0
715,2,0.4,daytime,1.15,5,0.617,0.258,1.0,1.0,1.5,3.969,0.0
716,2,0.4,daytime,1.15,7,0.6,0.226,1.0,1.0,0.143,0.35,0.0
717,2,0.4,daytime,1.2,3,0.617,0.258,1.0,1.0,0.0,0.0,0.0
718,2,0.4,daytime,1.2,5,0.617,0.258,1.0,1.0,1.5,3.969,0.0
719,2,0.4,daytime,1.2,7,0.6,0.226,1.0,1.0,0.143,0.35,0.0
720,2,0.5,simple,1.0,3,0.583,0.194,1.0,1.0,6.5,8.865,0.5
721,2,0.5,simple,1.0,5,0.583,0.194,1.0,1.0,7.333,8.28,3.5
722,2,0.5,simple,1.0,7,0.583,0.194,1.0,1.0,6.833,8.375,2.0
723,2,0.5,simple,1.05,3,0.567,0.161,1.0,1.0,4.6,8.212,1.0
724,2,0.5,simple,1.05,5,0.567,0.161,1.0,1.0,5.8,8.035,1.0
725,2,0.5,simple,1.05,7,0.567,0.161,1.0,1.0,5.0,7.642,1.0
726,2,0.5,simple,1.1,3,0.567,0.161,1.0,1.0,5.6,8.015,1.0
727,2,0.5,simple,1.1,5,0.567,0.161,1.0,1.0,5.8,8.035,1.0
728,2,0.5,simple,1.1,7,0.55,0.129,1.0,1.0,6.25,10.256,0.5
729,2,0.5,simple,1.15,3,0.55,0.129,1.0,1.0,1.75,2.487,0.5
730,2,0.5,simple,1.15,5,0.55,0.129,1.0,1.0,2.0,2.915,0.5
731,2,0.5,simple,1.15,7,0.533,0.097,1.0,1.0,0.333,0.471,0.0
732,2,0.5,simple,1.2,3,0.55,0.129,1.0,1.0,1.75,2.487,0.5
733,2,0.5,simple,1.2,5,0.55,0.129,1.0,1.0,2.0,2.915,0.5
734,2,0.5,simple,1.2,7,0.533,0.097,1.0,1.0,0.667,0.943,0.0
735,2,0.5,daytime,1.0,3,0.617,0.258,1.0,1.0,8.25,10.096,3.5
736,2,0.5,daytime,1.0,5,0.617,0.258,1.0,1.0,8.25,10.096,3.5
737,2,0.5,daytime,1.0,7,0.6,0.226,1.0,1.0,6.857,9.746,2.0
738,2,0.5,daytime,1.05,3,0.617,0.258,1.0,1.0,8.5,10.112,4.0
739,2,0.5,daytime,1.05,5,0.6,0.226,1.0,1.0,7.857,9.657,6.0
740,2,0.5,daytime,1.05,7,0.6,0.226,1.0,1.0,8.0,9.899,4.0
741,2,0.5,daytime,1.1,3,0.6,0.226,1.0,1.0,7.0,9.943,1.0
742,2,0.5,daytime,1.1,5,0.6,0.226,1.0,1.0,7.857,9.657,6.0
743,2,0.5,daytime,1.1,7,0.6,0.226,1.0,1.0,8.0,9.899,4.0
744,2,0.5,daytime,1.15,3,0.6,0.226,1.0,1.0,8.143,10.763,1.0
745,2,0.5,daytime,1.15,5,0.6,0.226,1.0,1.0,9.0,10.406,6.0
746,2,0.5,daytime,1.15,7,0.6,0.226,1.0,1.0,9.857,10.789,4.0
747,2,0.5,daytime,1.2,3,0.6,0.226,1.0,1.0,8.429,11.044,1.0
748,2,0.5,daytime,1.2,5,0.6,0.226,1.0,1.0,10.714,10.898,7.0
749,2,0.5,daytime,1.2,7,0.583,0.194,1.0,1.0,9.0,11.489,2.5
750,2,0.6,simple,1.0,3,0.5,0.032,1.0,1.0,3.0,0.0,3.0
751,2,0.6,simple,1.0,5,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
752,2,0.6,simple,1.0,7,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
753,2,0.6,simple,1.05,3,0.5,0.032,1.0,1.0,3.0,0.0,3.0
754,2,0.6,simple,1.05,5,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
755,2,0.6,simple,1.05,7,0.483,0.0,1.0,0.0,999999999.0,0.0,999999999.0
