alpha,max_iter,th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
0.333,2000,daytime,1.1,0.6,5,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,daytime,1.1,0.6,7,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,daytime,1.1,0.7,3,2,0.597,0.196,1.0,1.0,0.033,0.075,0.0
0.333,2000,daytime,1.1,0.7,5,2,0.597,0.196,1.0,1.0,0.695,1.335,0.1
0.333,2000,daytime,1.1,0.7,7,2,0.597,0.196,1.0,1.0,0.919,1.534,0.2
0.333,2000,daytime,1.1,0.8,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.1,0.8,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.1,0.8,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.1,0.9,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.1,0.9,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.1,0.9,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.1,1.0,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.1,1.0,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.1,1.0,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.15,0.1,3,2,0.87,0.735,1.0,1.0,7.578,9.566,4.5
0.333,2000,daytime,1.15,0.1,5,2,0.817,0.63,1.0,1.0,8.741,10.079,5.6
0.333,2000,daytime,1.15,0.1,7,2,0.77,0.537,1.0,1.0,10.185,10.781,7.7
0.333,2000,daytime,1.15,0.2,3,2,0.67,0.343,1.0,1.0,11.202,13.229,6.5
0.333,2000,daytime,1.15,0.2,5,2,0.663,0.329,1.0,1.0,11.464,13.789,7.0
0.333,2000,daytime,1.15,0.2,7,2,0.647,0.295,1.0,1.0,9.746,13.192,2.4
0.333,2000,daytime,1.15,0.3,3,2,0.643,0.289,1.0,1.0,9.814,13.875,2.0
0.333,2000,daytime,1.15,0.3,5,2,0.63,0.261,1.0,1.0,7.509,12.731,0.0
0.333,2000,daytime,1.15,0.3,7,2,0.627,0.255,1.0,1.0,6.999,12.302,0.0
0.333,2000,daytime,1.15,0.4,3,2,0.61,0.222,1.0,1.0,3.462,8.154,0.0
0.333,2000,daytime,1.15,0.4,5,2,0.607,0.216,1.0,1.0,2.155,5.57,0.0
0.333,2000,daytime,1.15,0.4,7,2,0.6,0.203,1.0,1.0,0.444,1.257,0.0
0.333,2000,daytime,1.15,0.5,3,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,daytime,1.15,0.5,5,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,daytime,1.15,0.5,7,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,daytime,1.15,0.6,3,2,0.597,0.196,1.0,1.0,0.033,0.075,0.0
0.333,2000,daytime,1.15,0.6,5,2,0.597,0.196,1.0,1.0,0.033,0.075,0.0
0.333,2000,daytime,1.15,0.6,7,2,0.597,0.196,1.0,1.0,0.033,0.075,0.0
0.333,2000,daytime,1.15,0.7,3,2,0.597,0.196,1.0,1.0,0.562,1.176,0.0
0.333,2000,daytime,1.15,0.7,5,2,0.597,0.196,1.0,1.0,0.724,1.355,0.1
0.333,2000,daytime,1.15,0.7,7,2,0.597,0.196,1.0,1.0,1.08,1.697,0.3
0.333,2000,daytime,1.15,0.8,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.15,0.8,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.15,0.8,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.15,0.9,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.15,0.9,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.15,0.9,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.15,1.0,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.15,1.0,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.15,1.0,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.2,0.1,3,2,0.853,0.701,1.0,1.0,7.677,8.548,4.9
0.333,2000,daytime,1.2,0.1,5,2,0.803,0.602,1.0,1.0,9.262,10.326,5.9
0.333,2000,daytime,1.2,0.1,7,2,0.757,0.511,1.0,1.0,11.694,11.721,9.2
0.333,2000,daytime,1.2,0.2,3,2,0.663,0.329,1.0,1.0,11.172,13.471,6.4
0.333,2000,daytime,1.2,0.2,5,2,0.657,0.315,1.0,1.0,11.152,13.959,6.4
0.333,2000,daytime,1.2,0.2,7,2,0.647,0.295,1.0,1.0,9.811,13.249,2.4
0.333,2000,daytime,1.2,0.3,3,2,0.637,0.275,1.0,1.0,8.809,13.389,0.0
0.333,2000,daytime,1.2,0.3,5,2,0.627,0.255,1.0,1.0,7.05,12.381,0.0
0.333,2000,daytime,1.2,0.3,7,2,0.627,0.255,1.0,1.0,7.072,12.427,0.0
0.333,2000,daytime,1.2,0.4,3,2,0.61,0.222,1.0,1.0,3.792,8.846,0.0
0.333,2000,daytime,1.2,0.4,5,2,0.603,0.21,1.0,1.0,1.53,3.916,0.0
0.333,2000,daytime,1.2,0.4,7,2,0.6,0.203,1.0,1.0,0.467,1.32,0.0
0.333,2000,daytime,1.2,0.5,3,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,daytime,1.2,0.5,5,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,daytime,1.2,0.5,7,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,daytime,1.2,0.6,3,2,0.597,0.196,1.0,1.0,0.033,0.075,0.0
0.333,2000,daytime,1.2,0.6,5,2,0.597,0.196,1.0,1.0,0.033,0.075,0.0
0.333,2000,daytime,1.2,0.6,7,2,0.597,0.196,1.0,1.0,0.033,0.075,0.0
0.333,2000,daytime,1.2,0.7,3,2,0.597,0.196,1.0,1.0,0.562,1.176,0.0
0.333,2000,daytime,1.2,0.7,5,2,0.597,0.196,1.0,1.0,0.933,1.667,0.1
0.333,2000,daytime,1.2,0.7,7,2,0.597,0.196,1.0,1.0,1.658,2.147,0.4
0.333,2000,daytime,1.2,0.8,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.2,0.8,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.2,0.8,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.2,0.9,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.2,0.9,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.2,0.9,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.2,1.0,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.2,1.0,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.2,1.0,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.0,0.1,3,2,0.807,0.611,1.0,1.0,9.798,9.46,7.6
0.333,2000,simple,1.0,0.1,5,2,0.757,0.51,1.0,1.0,11.741,11.373,9.5
0.333,2000,simple,1.0,0.1,7,2,0.74,0.479,1.0,1.0,13.338,12.109,11.8
0.333,2000,simple,1.0,0.2,3,2,0.65,0.302,1.0,1.0,10.616,13.95,4.4
0.333,2000,simple,1.0,0.2,5,2,0.64,0.281,1.0,1.0,8.884,13.187,0.0
0.333,2000,simple,1.0,0.2,7,2,0.633,0.268,1.0,1.0,7.553,12.04,0.0
0.333,2000,simple,1.0,0.3,3,2,0.62,0.24,1.0,1.0,5.406,9.161,0.0
0.333,2000,simple,1.0,0.3,5,2,0.617,0.234,1.0,1.0,4.835,8.525,0.0
0.333,2000,simple,1.0,0.3,7,2,0.61,0.222,1.0,1.0,3.311,5.964,0.0
0.333,2000,simple,1.0,0.4,3,2,0.6,0.203,1.0,1.0,0.444,1.257,0.0
0.333,2000,simple,1.0,0.4,5,2,0.6,0.203,1.0,1.0,0.444,1.257,0.0
0.333,2000,simple,1.0,0.4,7,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.0,0.5,3,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.0,0.5,5,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.0,0.5,7,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.0,0.6,3,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.0,0.6,5,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.0,0.6,7,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.0,0.7,3,2,0.597,0.196,1.0,1.0,2.175,3.303,0.6
0.333,2000,simple,1.0,0.7,5,2,0.597,0.196,1.0,1.0,2.97,4.666,0.6
0.333,2000,simple,1.0,0.7,7,2,0.593,0.188,1.0,1.0,2.698,3.54,1.0
0.333,2000,simple,1.0,0.8,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.0,0.8,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.0,0.8,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.0,0.9,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.0,0.9,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.0,0.9,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.0,1.0,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.0,1.0,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.0,1.0,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.05,0.1,3,2,0.787,0.572,1.0,1.0,9.969,9.334,8.0
0.333,2000,simple,1.05,0.1,5,2,0.743,0.485,1.0,1.0,12.27,11.797,9.3
0.333,2000,simple,1.05,0.1,7,2,0.726,0.453,1.0,1.0,13.251,12.466,10.9
0.333,2000,simple,1.05,0.2,3,2,0.647,0.295,1.0,1.0,10.413,14.133,2.5
0.333,2000,simple,1.05,0.2,5,2,0.634,0.268,1.0,1.0,7.32,11.866,0.0
0.333,2000,simple,1.05,0.2,7,2,0.63,0.261,1.0,1.0,6.851,11.51,0.0
0.333,2000,simple,1.05,0.3,3,2,0.613,0.228,1.0,1.0,4.193,8.364,0.0
0.333,2000,simple,1.05,0.3,5,2,0.61,0.222,1.0,1.0,3.54,8.272,0.0
0.333,2000,simple,1.05,0.3,7,2,0.603,0.209,1.0,1.0,1.858,4.029,0.0
0.333,2000,simple,1.05,0.4,3,2,0.6,0.203,1.0,1.0,0.467,1.32,0.0
0.333,2000,simple,1.05,0.4,5,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.05,0.4,7,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.05,0.5,3,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.05,0.5,5,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.05,0.5,7,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,simple,1.05,0.6,3,2,0.597,0.196,1.0,1.0,0.033,0.075,0.0
0.333,2000,simple,1.05,0.6,5,2,0.597,0.196,1.0,1.0,0.033,0.075,0.0
0.333,2000,simple,1.05,0.6,7,2,0.597,0.196,1.0,1.0,0.083,0.161,0.0
0.333,2000,simple,1.05,0.7,3,2,0.597,0.196,1.0,1.0,2.307,3.447,0.6
0.333,2000,simple,1.05,0.7,5,2,0.597,0.196,1.0,1.0,3.944,5.808,1.2
0.333,2000,simple,1.05,0.7,7,2,0.59,0.182,1.0,1.0,3.457,4.67,1.2
0.333,2000,simple,1.05,0.8,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.05,0.8,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.05,0.8,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.05,0.9,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.05,0.9,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.05,0.9,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.05,1.0,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.05,1.0,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.05,1.0,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.1,0.1,3,2,0.77,0.537,1.0,1.0,11.112,10.239,7.5
0.333,2000,simple,1.1,0.1,5,2,0.736,0.472,1.0,1.0,13.074,12.107,10.8
0.333,2000,simple,1.1,0.1,7,2,0.723,0.446,1.0,1.0,13.278,12.479,11.3
0.333,2000,simple,1.1,0.2,3,2,0.647,0.295,1.0,1.0,10.618,14.336,2.6
0.333,2000,simple,1.1,0.2,5,2,0.627,0.254,1.0,1.0,6.146,10.043,0.0
0.333,2000,simple,1.1,0.2,7,2,0.624,0.248,1.0,1.0,5.837,9.944,0.0
0.333,2000,simple,1.1,0.3,3,2,0.613,0.228,1.0,1.0,4.344,8.666,0.0
0.333,2000,simple,1.1,0.3,5,2,0.607,0.216,1.0,1.0,2.545,5.825,0.0
0.333,2000,simple,1.1,0.3,7,2,0.6,0.203,1.0,1.0,0.4,1.131,0.0
