,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_medfilt_kernel_size,param_th_majority,param_th_mode,param_th_multiplier,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_specificity,split1_test_specificity,split2_test_specificity,split3_test_specificity,split4_test_specificity,mean_test_specificity,std_test_specificity,rank_test_specificity,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_detection_time_mean,split1_test_detection_time_mean,split2_test_detection_time_mean,split3_test_detection_time_mean,split4_test_detection_time_mean,mean_test_detection_time_mean,std_test_detection_time_mean,rank_test_detection_time_mean,split0_test_detection_time_std,split1_test_detection_time_std,split2_test_detection_time_std,split3_test_detection_time_std,split4_test_detection_time_std,mean_test_detection_time_std,std_test_detection_time_std,rank_test_detection_time_std,split0_test_detection_time_median,split1_test_detection_time_median,split2_test_detection_time_median,split3_test_detection_time_median,split4_test_detection_time_median,mean_test_detection_time_median,std_test_detection_time_median,rank_test_detection_time_median
154,0.8838712692260742,0.03223372283903231,4.1684764385223385,0.03658691699094447,5,0.6,simple,1.8,"{'medfilt_kernel_size': 5, 'th_majority': 0.6, 'th_mode': 'simple', 'th_multiplier': 1.8}",0.48,0.54,0.51,0.55,0.54,0.524,0.025768197453450273,297,0.018867924528301886,0.02127659574468085,0.057692307692307696,0.0,0.061224489795918366,0.03181226355224176,0.023771546262438367,300,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,0.0,1.0,0.8,0.4,291,0.0,0.0,0.0,999999999.0,0.0,199999999.8,399999999.6,203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,0.0,0.0,0.0,999999999.0,0.0,199999999.8,399999999.6,199
155,0.870080041885376,0.006386557391227539,9.860972023010254,0.023988160556935232,5,0.6,daytime,1.0,"{'medfilt_kernel_size': 5, 'th_majority': 0.6, 'th_mode': 'daytime', 'th_multiplier': 1.0}",0.54,0.62,0.55,0.57,0.62,0.5800000000000001,0.03405877273185279,237,0.1320754716981132,0.19148936170212766,0.1346153846153846,0.044444444444444446,0.22448979591836735,0.14542289167568745,0.061425235272430496,237,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,14.714285714285714,44.77777777777778,5.571428571428571,6.0,14.363636363636363,17.085425685425683,14.389965937763513,245,35.63591401026412,73.32996625266702,13.64715713836342,6.0,32.4100790363198,32.20462328752287,23.384489019893508,35,0.0,14.0,0.0,6.0,1.0,4.2,5.3814496188294845,229
156,0.8785406589508057,0.012324158463711373,9.881724166870118,0.04229375451368683,5,0.6,daytime,1.2,"{'medfilt_kernel_size': 5, 'th_majority': 0.6, 'th_mode': 'daytime', 'th_multiplier': 1.2}",0.53,0.61,0.54,0.57,0.61,0.572,0.033704599092705415,244,0.11320754716981132,0.1702127659574468,0.11538461538461539,0.044444444444444446,0.20408163265306123,0.12946620112187585,0.05462431539563595,243,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,3.5,48.75,17.5,6.0,4.8,16.11,17.06717316956736,249,7.388053419767167,76.87774385347166,39.131189606246316,6.0,6.720119046564577,27.22342118520994,27.8266330273594,70,0.0,8.0,0.0,6.0,1.0,3.0,3.3466401061363023,238
157,1.0173025131225586,0.20428133207538757,9.86340136528015,0.02491898334815896,5,0.6,daytime,1.4,"{'medfilt_kernel_size': 5, 'th_majority': 0.6, 'th_mode': 'daytime', 'th_multiplier': 1.4}",0.53,0.61,0.54,0.57,0.6,0.5700000000000001,0.03162277660168377,246,0.11320754716981132,0.1702127659574468,0.11538461538461539,0.044444444444444446,0.1836734693877551,0.12538456846881463,0.04941001082149418,248,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,3.5,49.0,17.5,8.0,6.555555555555555,16.91111111111111,16.71255165185883,246,7.388053419767167,76.78704317786953,39.131189606246316,7.0,8.982836858403438,27.85782461245729,27.318428690778937,61,0.0,8.5,0.0,8.0,0.0,3.3,4.044749683231337,235
158,0.8925267219543457,0.03899179290938988,9.857969951629638,0.02515988345771017,5,0.6,daytime,1.6,"{'medfilt_kernel_size': 5, 'th_majority': 0.6, 'th_mode': 'daytime', 'th_multiplier': 1.6}",0.52,0.59,0.52,0.57,0.58,0.5559999999999999,0.030066592756745787,263,0.09433962264150944,0.1276595744680851,0.07692307692307693,0.044444444444444446,0.14285714285714285,0.09724477226685176,0.03525573530065911,264,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,4.4,59.666666666666664,26.25,34.5,5.0,25.96333333333333,20.558746178802938,223,7.812809993849844,87.85720738157393,45.46633369868303,17.5,9.396047801374484,33.60647977509626,30.313939660838656,28,1.0,2.0,0.0,34.5,0.0,7.5,13.520355024924458,219
159,0.8734147071838378,0.007813632188515628,9.86634178161621,0.025147846137165693,5,0.6,daytime,1.8,"{'medfilt_kernel_size': 5, 'th_majority': 0.6, 'th_mode': 'daytime', 'th_multiplier': 1.8}",0.52,0.59,0.52,0.56,0.57,0.5519999999999999,0.027856776554368218,269,0.09433962264150944,0.1276595744680851,0.07692307692307693,0.022222222222222223,0.12244897959183673,0.08871869516934608,0.038070031567225396,270,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,21.2,59.833333333333336,26.25,17.0,22.666666666666668,29.389999999999997,15.507724240233033,221,32.79878046513315,87.74473710080217,45.46633369868303,0.0,50.68420748999523,43.338811750922716,28.35387895110012,6,1.0,2.5,0.0,17.0,0.0,4.1,6.514598989960932,232
160,0.87240629196167,0.012285669380943108,4.171960687637329,0.009283255945381902,5,0.7,simple,1.0,"{'medfilt_kernel_size': 5, 'th_majority': 0.7, 'th_mode': 'simple', 'th_multiplier': 1.0}",0.48,0.55,0.5,0.55,0.52,0.52,0.027568097504180468,316,0.018867924528301886,0.0425531914893617,0.038461538461538464,0.0,0.02040816326530612,0.024058163548901633,0.015287770170298068,312,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,0.0,1.0,0.8,0.4,291,27.0,0.0,0.0,999999999.0,0.0,200000005.2,399999996.9000001,189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,27.0,0.0,0.0,999999999.0,0.0,200000005.2,399999996.9000001,186
161,1.0056291580200196,0.18283810331752898,4.163761472702026,0.008000036069190261,5,0.7,simple,1.2,"{'medfilt_kernel_size': 5, 'th_majority': 0.7, 'th_mode': 'simple', 'th_multiplier': 1.2}",0.48,0.54,0.5,0.55,0.52,0.518,0.025612496949731417,321,0.018867924528301886,0.02127659574468085,0.038461538461538464,0.0,0.02040816326530612,0.019802844399965464,0.012195998848260376,322,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,0.0,1.0,0.8,0.4,291,30.0,0.0,0.0,999999999.0,0.0,200000005.8,399999996.6000002,184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,30.0,0.0,0.0,999999999.0,0.0,200000005.8,399999996.6000002,182
162,0.8847817420959473,0.03817258444696841,4.1765374660491945,0.005342121793400067,5,0.7,simple,1.4,"{'medfilt_kernel_size': 5, 'th_majority': 0.7, 'th_mode': 'simple', 'th_multiplier': 1.4}",0.47,0.54,0.49,0.55,0.52,0.514,0.030066592756745846,331,0.0,0.02127659574468085,0.019230769230769232,0.0,0.02040816326530612,0.01218310564815124,0.009968639058396976,331,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.0,1.0,1.0,0.0,1.0,0.6,0.48989794855663565,323,999999999.0,0.0,0.0,999999999.0,0.0,399999999.6,489897948.06673765,172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,999999999.0,0.0,0.0,999999999.0,0.0,399999999.6,489897948.06673765,172
163,0.9514958381652832,0.09569699238890059,4.174085712432861,0.010980390400314764,5,0.7,simple,1.6,"{'medfilt_kernel_size': 5, 'th_majority': 0.7, 'th_mode': 'simple', 'th_multiplier': 1.6}",0.47,0.53,0.49,0.55,0.52,0.512,0.028565713714171423,340,0.0,0.0,0.019230769230769232,0.0,0.02040816326530612,0.00792778649921507,0.009716651884109126,340,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.0,0.0,1.0,0.0,1.0,0.4,0.48989794855663565,340,999999999.0,999999999.0,0.0,999999999.0,0.0,599999999.4,489897948.06673765,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,999999999.0,999999999.0,0.0,999999999.0,0.0,599999999.4,489897948.06673765,152
