alpha,max_iter,th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
0.333,2000,daytime,1.15,0.7,5,2,0.644,0.282,1.0,1.0,13.9,28.37,0.7
0.333,2000,daytime,1.15,0.7,7,2,0.644,0.282,1.0,1.0,14.425,28.521,1.1
0.333,2000,daytime,1.15,0.8,3,2,0.556,0.101,1.0,1.0,6.219,8.895,2.1
0.333,2000,daytime,1.15,0.8,5,2,0.556,0.101,1.0,1.0,9.786,10.863,7.0
0.333,2000,daytime,1.15,0.8,7,2,0.556,0.101,1.0,1.0,14.124,17.799,8.3
0.333,2000,daytime,1.15,0.9,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.15,0.9,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.15,0.9,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.15,1.0,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.15,1.0,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.15,1.0,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.2,0.1,3,2,0.916,0.846,0.988,0.986,8.352,16.47,0.2
0.333,2000,daytime,1.2,0.1,5,2,0.912,0.834,0.992,0.991,9.513,17.761,0.8
0.333,2000,daytime,1.2,0.1,7,2,0.906,0.82,0.992,0.99,9.649,16.757,0.6
0.333,2000,daytime,1.2,0.2,3,2,0.872,0.744,1.0,1.0,11.863,24.398,1.0
0.333,2000,daytime,1.2,0.2,5,2,0.864,0.728,1.0,1.0,11.873,23.131,1.0
0.333,2000,daytime,1.2,0.2,7,2,0.86,0.72,1.0,1.0,12.673,25.735,1.0
0.333,2000,daytime,1.2,0.3,3,2,0.816,0.631,1.0,1.0,8.121,18.418,0.8
0.333,2000,daytime,1.2,0.3,5,2,0.808,0.616,1.0,1.0,10.097,24.618,0.0
0.333,2000,daytime,1.2,0.3,7,2,0.802,0.603,1.0,1.0,8.038,16.414,0.0
0.333,2000,daytime,1.2,0.4,3,2,0.776,0.55,1.0,1.0,7.61,15.085,0.0
0.333,2000,daytime,1.2,0.4,5,2,0.77,0.538,1.0,1.0,9.333,19.654,0.0
0.333,2000,daytime,1.2,0.4,7,2,0.76,0.517,1.0,1.0,10.148,21.208,0.3
0.333,2000,daytime,1.2,0.5,3,2,0.716,0.426,1.0,1.0,6.009,13.263,0.0
0.333,2000,daytime,1.2,0.5,5,2,0.708,0.41,1.0,1.0,8.204,15.674,0.0
0.333,2000,daytime,1.2,0.5,7,2,0.708,0.41,1.0,1.0,10.423,21.772,0.2
0.333,2000,daytime,1.2,0.6,3,2,0.688,0.37,1.0,1.0,7.071,14.653,0.0
0.333,2000,daytime,1.2,0.6,5,2,0.684,0.362,1.0,1.0,11.128,23.664,0.0
0.333,2000,daytime,1.2,0.6,7,2,0.68,0.354,1.0,1.0,11.538,23.868,0.2
0.333,2000,daytime,1.2,0.7,3,2,0.648,0.29,1.0,1.0,10.403,22.766,0.0
0.333,2000,daytime,1.2,0.7,5,2,0.642,0.278,1.0,1.0,13.876,28.37,0.2
