,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_medfilt_kernel_size,param_splitter,param_th_majority,param_th_mode,param_th_multiplier,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_specificity,split1_test_specificity,split2_test_specificity,split3_test_specificity,split4_test_specificity,mean_test_specificity,std_test_specificity,rank_test_specificity,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_detection_time_mean,split1_test_detection_time_mean,split2_test_detection_time_mean,split3_test_detection_time_mean,split4_test_detection_time_mean,mean_test_detection_time_mean,std_test_detection_time_mean,rank_test_detection_time_mean,split0_test_detection_time_std,split1_test_detection_time_std,split2_test_detection_time_std,split3_test_detection_time_std,split4_test_detection_time_std,mean_test_detection_time_std,std_test_detection_time_std,rank_test_detection_time_std,split0_test_detection_time_median,split1_test_detection_time_median,split2_test_detection_time_median,split3_test_detection_time_median,split4_test_detection_time_median,mean_test_detection_time_median,std_test_detection_time_median,rank_test_detection_time_median
20,0.2147230625152588,0.012824119985058318,0.0,0.0,squared_error,3,best,0.3,simple,1.0,"{'criterion': 'squared_error', 'medfilt_kernel_size': 3, 'splitter': 'best', 'th_majority': 0.3, 'th_mode': 'simple', 'th_multiplier': 1.0}",,,,,,,,2320,,,,,,,,2320,,,,,,,,2320,,,,,,,,2320,,,,,,,,2320,,,,,,,,2320,,,,,,,,2320
21,0.20022273063659668,0.00397243633864141,0.0,0.0,squared_error,3,best,0.3,simple,1.2,"{'criterion': 'squared_error', 'medfilt_kernel_size': 3, 'splitter': 'best', 'th_majority': 0.3, 'th_mode': 'simple', 'th_multiplier': 1.2}",,,,,,,,2319,,,,,,,,2319,,,,,,,,2319,,,,,,,,2319,,,,,,,,2319,,,,,,,,2319,,,,,,,,2319
22,0.19553875923156738,0.0006476022508103218,0.0,0.0,squared_error,3,best,0.3,simple,1.4,"{'criterion': 'squared_error', 'medfilt_kernel_size': 3, 'splitter': 'best', 'th_majority': 0.3, 'th_mode': 'simple', 'th_multiplier': 1.4}",,,,,,,,2318,,,,,,,,2318,,,,,,,,2318,,,,,,,,2318,,,,,,,,2318,,,,,,,,2318,,,,,,,,2318
23,0.2713010787963867,0.03909168210690836,0.0,0.0,squared_error,3,best,0.3,simple,1.6,"{'criterion': 'squared_error', 'medfilt_kernel_size': 3, 'splitter': 'best', 'th_majority': 0.3, 'th_mode': 'simple', 'th_multiplier': 1.6}",,,,,,,,2317,,,,,,,,2317,,,,,,,,2317,,,,,,,,2317,,,,,,,,2317,,,,,,,,2317,,,,,,,,2317
24,0.24058175086975098,0.052361736207567657,0.0,0.0,squared_error,3,best,0.3,simple,1.8,"{'criterion': 'squared_error', 'medfilt_kernel_size': 3, 'splitter': 'best', 'th_majority': 0.3, 'th_mode': 'simple', 'th_multiplier': 1.8}",,,,,,,,2316,,,,,,,,2316,,,,,,,,2316,,,,,,,,2316,,,,,,,,2316,,,,,,,,2316,,,,,,,,2316
25,0.20488338470458983,0.10001997383035609,0.0,0.0,squared_error,3,best,0.3,daytime,1.0,"{'criterion': 'squared_error', 'medfilt_kernel_size': 3, 'splitter': 'best', 'th_majority': 0.3, 'th_mode': 'daytime', 'th_multiplier': 1.0}",,,,,,,,2315,,,,,,,,2315,,,,,,,,2315,,,,,,,,2315,,,,,,,,2315,,,,,,,,2315,,,,,,,,2315
26,0.13626904487609864,0.02748585478858431,0.0,0.0,squared_error,3,best,0.3,daytime,1.2,"{'criterion': 'squared_error', 'medfilt_kernel_size': 3, 'splitter': 'best', 'th_majority': 0.3, 'th_mode': 'daytime', 'th_multiplier': 1.2}",,,,,,,,2314,,,,,,,,2314,,,,,,,,2314,,,,,,,,2314,,,,,,,,2314,,,,,,,,2314,,,,,,,,2314
27,0.1250765800476074,0.0012295725346905787,0.0,0.0,squared_error,3,best,0.3,daytime,1.4,"{'criterion': 'squared_error', 'medfilt_kernel_size': 3, 'splitter': 'best', 'th_majority': 0.3, 'th_mode': 'daytime', 'th_multiplier': 1.4}",,,,,,,,2313,,,,,,,,2313,,,,,,,,2313,,,,,,,,2313,,,,,,,,2313,,,,,,,,2313,,,,,,,,2313
28,0.12283530235290527,0.000249533062759027,0.0,0.0,squared_error,3,best,0.3,daytime,1.6,"{'criterion': 'squared_error', 'medfilt_kernel_size': 3, 'splitter': 'best', 'th_majority': 0.3, 'th_mode': 'daytime', 'th_multiplier': 1.6}",,,,,,,,2340,,,,,,,,2340,,,,,,,,2340,,,,,,,,2340,,,,,,,,2340,,,,,,,,2340,,,,,,,,2340
29,0.13742442131042482,0.02819887373018226,0.0,0.0,squared_error,3,best,0.3,daytime,1.8,"{'criterion': 'squared_error', 'medfilt_kernel_size': 3, 'splitter': 'best', 'th_majority': 0.3, 'th_mode': 'daytime', 'th_multiplier': 1.8}",,,,,,,,2341,,,,,,,,2341,,,,,,,,2341,,,,,,,,2341,,,,,,,,2341,,,,,,,,2341,,,,,,,,2341
30,0.12262229919433594,0.0007799446329303743,0.0,0.0,squared_error,3,best,0.4,simple,1.0,"{'criterion': 'squared_error', 'medfilt_kernel_size': 3, 'splitter': 'best', 'th_majority': 0.4, 'th_mode': 'simple', 'th_multiplier': 1.0}",,,,,,,,2342,,,,,,,,2342,,,,,,,,2342,,,,,,,,2342,,,,,,,,2342,,,,,,,,2342,,,,,,,,2342
31,0.12239255905151367,0.0002873072918095205,0.0,0.0,squared_error,3,best,0.4,simple,1.2,"{'criterion': 'squared_error', 'medfilt_kernel_size': 3, 'splitter': 'best', 'th_majority': 0.4, 'th_mode': 'simple', 'th_multiplier': 1.2}",,,,,,,,2343,,,,,,,,2343,,,,,,,,2343,,,,,,,,2343,,,,,,,,2343,,,,,,,,2343,,,,,,,,2343
