,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_medfilt_kernel_size,param_n_neighbors,param_weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_specificity,split1_test_specificity,split2_test_specificity,split3_test_specificity,split4_test_specificity,mean_test_specificity,std_test_specificity,rank_test_specificity,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_detection_time_mean,split1_test_detection_time_mean,split2_test_detection_time_mean,split3_test_detection_time_mean,split4_test_detection_time_mean,mean_test_detection_time_mean,std_test_detection_time_mean,rank_test_detection_time_mean,split0_test_detection_time_std,split1_test_detection_time_std,split2_test_detection_time_std,split3_test_detection_time_std,split4_test_detection_time_std,mean_test_detection_time_std,std_test_detection_time_std,rank_test_detection_time_std,split0_test_detection_time_median,split1_test_detection_time_median,split2_test_detection_time_median,split3_test_detection_time_median,split4_test_detection_time_median,mean_test_detection_time_median,std_test_detection_time_median,rank_test_detection_time_median
10,2.8385695934295656,0.29428718954680433,4.19293065071106,0.0064586771280010875,5,5,uniform,"{'medfilt_kernel_size': 5, 'n_neighbors': 5, 'weights': 'uniform'}",0.86,0.86,0.85,0.84,0.92,0.866,0.028000000000000025,30,0.9622641509433962,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9801686069851465,0.018024129612332834,13,0.7446808510638298,0.6956521739130435,0.7413793103448276,0.6808510638297872,0.8867924528301887,0.7498711703963354,0.07286969654849908,30,0.8095238095238095,0.7941176470588235,0.7368421052631579,0.7761194029850746,0.8823529411764706,0.7997911812014673,0.04788798700992094,30,4.529411764705882,7.37037037037037,4.142857142857143,7.0,8.8,6.368527855586679,1.7692066244446774,33,8.397835718327578,21.61043669010184,11.185814631916257,22.83890068754152,32.98659660461436,19.40391686650031,8.829813803576767,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
11,2.827848720550537,0.27034724596118953,0.940205717086792,0.00683388119901756,5,5,distance,"{'medfilt_kernel_size': 5, 'n_neighbors': 5, 'weights': 'distance'}",0.84,0.86,0.84,0.85,0.91,0.86,0.026076809620810618,32,0.9622641509433962,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9801686069851465,0.018024129612332834,13,0.7021276595744681,0.6956521739130435,0.7241379310344828,0.7021276595744681,0.8679245283018868,0.7383939904796699,0.06548091608626716,32,0.7846153846153846,0.7941176470588235,0.7241379310344828,0.7878787878787878,0.8653846153846154,0.7912268731944189,0.04486329215947817,32,4.509803921568627,7.481481481481482,4.119047619047619,7.134615384615385,8.8,6.408989681342623,1.8024673570046954,32,8.404883148852635,21.5670708709681,11.193540613850601,22.829660907682428,32.98659660461436,19.396350429193625,8.823750688092575,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
12,2.823846626281738,0.2825676217288594,4.223710060119629,0.00639806883371696,5,7,uniform,"{'medfilt_kernel_size': 5, 'n_neighbors': 7, 'weights': 'uniform'}",0.92,0.9,0.88,0.9,0.92,0.9040000000000001,0.014966629547095779,21,0.9622641509433962,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9801686069851465,0.018024129612332834,13,0.8723404255319149,0.782608695652174,0.7931034482758621,0.8085106382978723,0.8867924528301887,0.8286711321176025,0.04261067661216761,21,0.8947368421052632,0.84375,0.7777777777777778,0.8524590163934426,0.8823529411764706,0.8502153154905908,0.040765241774963726,22,5.03921568627451,7.018518518518518,4.880952380952381,7.480769230769231,8.844444444444445,6.652780052191817,1.5076927255504202,29,8.549649194302436,21.471333810059175,11.568023210459618,23.02714984920007,32.984815062257944,19.520194225255846,8.729164677524116,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
13,2.840601110458374,0.2686338843056944,0.9640602588653564,0.00516574937637718,5,7,distance,"{'medfilt_kernel_size': 5, 'n_neighbors': 7, 'weights': 'distance'}",0.88,0.88,0.86,0.89,0.92,0.8860000000000001,0.01959591794226544,27,0.9622641509433962,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9801686069851465,0.018024129612332834,13,0.7872340425531915,0.7391304347826086,0.7586206896551724,0.7872340425531915,0.8867924528301887,0.7918023324748706,0.05087280557911661,27,0.8360655737704918,0.8181818181818182,0.75,0.8387096774193549,0.8823529411764706,0.8250620021096271,0.04306095777244731,27,5.019607843137255,7.481481481481482,4.428571428571429,7.480769230769231,8.844444444444445,6.650974885680768,1.6607253908880246,30,8.557739751250592,21.48189654771417,11.339234158113015,23.02714984920007,32.984815062257944,19.47816707370716,8.769694548180917,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,2.825051689147949,0.28204226649474806,4.257866668701172,0.01117374929701337,5,9,uniform,"{'medfilt_kernel_size': 5, 'n_neighbors': 9, 'weights': 'uniform'}",0.94,0.92,0.91,0.93,0.93,0.9259999999999999,0.010198039027185548,15,0.9622641509433962,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9801686069851465,0.018024129612332834,13,0.9148936170212766,0.8260869565217391,0.8448275862068966,0.8723404255319149,0.9056603773584906,0.8727617925280635,0.03410702352339751,15,0.9272727272727272,0.8709677419354839,0.8235294117647058,0.896551724137931,0.9,0.8836643210221696,0.03496296067084825,15,5.0,8.037037037037036,4.857142857142857,7.711538461538462,10.044444444444444,7.130032560032559,1.9676213647495542,25,8.531372323693896,22.06552780122824,11.570840667017094,23.160258184476216,35.608959893422295,20.187391773967548,9.594767691804268,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15,2.826964235305786,0.2732873646784773,0.9868919372558593,0.002791943139782448,5,9,distance,"{'medfilt_kernel_size': 5, 'n_neighbors': 9, 'weights': 'distance'}",0.92,0.91,0.9,0.91,0.93,0.914,0.01019803902718558,18,0.9622641509433962,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9801686069851465,0.018024129612332834,13,0.8723404255319149,0.8043478260869565,0.8275862068965517,0.8297872340425532,0.9056603773584906,0.8479444139832933,0.03625217252303007,19,0.8947368421052632,0.8571428571428571,0.8076923076923077,0.8666666666666667,0.9,0.8652477347214189,0.033038332237632195,19,5.0,7.537037037037037,4.428571428571429,7.711538461538462,9.911111111111111,6.917651607651608,1.9923655423631463,27,8.531372323693896,21.474112720826824,11.332933166204585,23.160258184476216,35.58640328503897,20.017015936048097,9.60980986324848,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
16,2.827176237106323,0.2884665295085494,4.170197248458862,0.007288063291117603,7,3,uniform,"{'medfilt_kernel_size': 7, 'n_neighbors': 3, 'weights': 'uniform'}",0.85,0.88,0.86,0.84,0.9,0.866,0.021540659228538036,30,0.9811320754716981,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9839421918908068,0.015706719909537682,3,0.7021276595744681,0.7391304347826086,0.7586206896551724,0.6808510638297872,0.8490566037735849,0.7459572903231242,0.05830316172033139,31,0.7878787878787878,0.8181818181818182,0.75,0.7761194029850746,0.8490566037735849,0.7962473225638531,0.03430429315281998,31,7.423076923076923,8.24074074074074,5.214285714285714,7.403846153846154,10.488888888888889,7.754167684167685,1.6969855682681947,16,15.5728389707679,22.11161516889323,12.207600509685825,22.847537836867684,37.3925852556194,22.026435548366806,8.658619424190661,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17,2.839191722869873,0.27360190249931243,0.9155505657196045,0.005354953398945057,7,3,distance,"{'medfilt_kernel_size': 7, 'n_neighbors': 3, 'weights': 'distance'}",0.85,0.87,0.86,0.82,0.9,0.86,0.026076809620810618,32,0.9811320754716981,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9839421918908068,0.015706719909537682,3,0.7021276595744681,0.717391304347826,0.7586206896551724,0.6382978723404256,0.8490566037735849,0.7330988259382953,0.06970040452048698,33,0.7878787878787878,0.8059701492537313,0.75,0.7536231884057971,0.8490566037735849,0.7893057458623802,0.036518735287635475,33,7.403846153846154,8.074074074074074,5.238095238095238,7.403846153846154,10.488888888888889,7.721750101750102,1.6823707421792826,18,15.565320940357486,22.133309782326705,12.200330838233784,22.847537836867684,37.3925852556194,22.027816930681013,8.661437687901579,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
18,2.8177770137786866,0.2723524918849612,4.208892154693603,0.011285016036470884,7,5,uniform,"{'medfilt_kernel_size': 7, 'n_neighbors': 5, 'weights': 'uniform'}",0.9,0.89,0.89,0.92,0.92,0.9040000000000001,0.013564659966250548,21,0.9622641509433962,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9801686069851465,0.018024129612332834,13,0.8297872340425532,0.7608695652173914,0.8103448275862069,0.851063829787234,0.8867924528301887,0.8277715818927149,0.04197529385882006,22,0.864406779661017,0.8307692307692308,0.7924528301886793,0.8813559322033898,0.8823529411764706,0.8502675427997575,0.03440524358310636,21,5.8431372549019605,8.314814814814815,5.476190476190476,7.634615384615385,10.488888888888889,7.551529363882305,1.8134621056082574,21,9.86451861027864,22.144160733596024,12.692776526974656,22.974926840223223,37.3925852556194,21.013793593338384,9.663687158293316,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
19,2.8290414810180664,0.26397149753056787,0.9451430320739747,0.006545748146780557,7,5,distance,"{'medfilt_kernel_size': 7, 'n_neighbors': 5, 'weights': 'distance'}",0.88,0.89,0.88,0.92,0.92,0.898,0.018330302779823376,24,0.9622641509433962,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9801686069851465,0.018024129612332834,13,0.7872340425531915,0.7608695652173914,0.7931034482758621,0.851063829787234,0.8867924528301887,0.8158126677327736,0.046112829664157626,24,0.8360655737704918,0.8307692307692308,0.7777777777777778,0.8813559322033898,0.8823529411764706,0.841664291139472,0.03863295789437584,24,5.803921568627451,8.185185185185185,5.023809523809524,7.8076923076923075,10.488888888888889,7.4618994948406705,1.9234631871502161,23,9.883675603986045,22.122616275920727,12.540388266257176,22.965725684441537,37.3925852556194,20.980998217244974,9.684803452383955,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20,2.8203071117401124,0.263745425607726,4.2327433109283445,0.009574381421783362,7,7,uniform,"{'medfilt_kernel_size': 7, 'n_neighbors': 7, 'weights': 'uniform'}",0.94,0.94,0.93,0.94,0.93,0.9359999999999999,0.004898979485566306,11,0.9622641509433962,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9801686069851465,0.018024129612332834,13,0.9148936170212766,0.8695652173913043,0.8793103448275862,0.8936170212765957,0.9056603773584906,0.8926093155750505,0.016588121409288132,12,0.9272727272727272,0.9,0.8571428571428571,0.9122807017543859,0.9,0.8993392572339941,0.023363086599745963,13,5.529411764705882,7.944444444444445,5.785714285714286,7.6923076923076925,10.533333333333333,7.497042304101127,1.8031957180122111,22,9.17018386963963,21.9927737851648,12.822108351789653,23.060571129709743,37.389006108450886,20.886928648950942,9.803974808492796,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
21,2.838590383529663,0.2614365417318489,0.9698583126068115,0.0037501512155308364,7,7,distance,"{'medfilt_kernel_size': 7, 'n_neighbors': 7, 'weights': 'distance'}",0.91,0.92,0.91,0.92,0.93,0.9179999999999999,0.007483314773547889,17,0.9622641509433962,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9801686069851465,0.018024129612332834,13,0.851063829787234,0.8260869565217391,0.8448275862068966,0.851063829787234,0.9056603773584906,0.8557405159323188,0.02658631592498754,17,0.8793103448275862,0.8709677419354839,0.8235294117647058,0.8813559322033898,0.9,0.8710326861462331,0.02557639383893434,17,5.490196078431373,8.25925925925926,5.809523809523809,7.6923076923076925,9.822222222222223,7.414701812348872,1.6041705377116886,24,9.189449510960623,22.02034848950968,12.814125567472676,23.060571129709743,35.13737414389975,20.44437376831049,9.056560634565292,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
22,2.8267197132110597,0.2778253436482785,4.260695743560791,0.011030532218400783,7,9,uniform,"{'medfilt_kernel_size': 7, 'n_neighbors': 9, 'weights': 'uniform'}",0.94,0.94,0.93,0.95,0.94,0.9399999999999998,0.006324555320336729,9,0.9622641509433962,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9801686069851465,0.018024129612332834,13,0.9148936170212766,0.8695652173913043,0.8793103448275862,0.9148936170212766,0.9245283018867925,0.9006382196296471,0.02189784670471581,9,0.9272727272727272,0.9,0.8571428571428571,0.9285714285714286,0.9183673469387755,0.9062708719851577,0.026599259890758356,9,5.980392156862745,8.38888888888889,5.761904761904762,8.0,10.088888888888889,7.644014939309057,1.6105248011561395,19,10.121788178214576,22.01381440576253,12.826329920480953,23.145027709905808,35.60513210337473,20.74241846354772,8.986116859372284,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
23,2.830787754058838,0.26906322286747075,0.9956303596496582,0.006882738750557708,7,9,distance,"{'medfilt_kernel_size': 7, 'n_neighbors': 9, 'weights': 'distance'}",0.94,0.95,0.92,0.93,0.94,0.9359999999999999,0.01019803902718553,11,0.9622641509433962,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9801686069851465,0.018024129612332834,13,0.9148936170212766,0.8913043478260869,0.8620689655172413,0.8723404255319149,0.9245283018867925,0.8930271315566625,0.023915613114461748,11,0.9272727272727272,0.9152542372881356,0.84,0.896551724137931,0.9183673469387755,0.8994892071275139,0.03138292179301561,12,5.980392156862745,8.333333333333334,5.809523809523809,8.0,9.933333333333334,7.611316526610645,1.547289013569438,20,10.121788178214576,22.011781357230465,12.808550148869301,23.145027709905808,35.51800795214857,20.721031069273742,8.960397592422119,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
24,2.8492886543273928,0.28544962906822374,4.167182445526123,0.005717061639627861,9,3,uniform,"{'medfilt_kernel_size': 9, 'n_neighbors': 3, 'weights': 'uniform'}",0.89,0.9,0.88,0.91,0.92,0.9,0.014142135623730963,23,0.9622641509433962,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9801686069851465,0.018024129612332834,13,0.8085106382978723,0.782608695652174,0.7931034482758621,0.8297872340425532,0.8867924528301887,0.8201604938197299,0.03690645602533285,23,0.85,0.84375,0.7777777777777778,0.8666666666666667,0.8823529411764706,0.8441094771241829,0.035794164788438276,23,5.764705882352941,8.537037037037036,5.333333333333333,7.865384615384615,11.355555555555556,7.771203284732695,2.163894377563634,15,9.96973505517361,22.127336003872173,12.1629152729314,22.96571763282246,37.57313198169112,20.95976718929815,9.793429979239539,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
25,2.8224814891815186,0.2651553929936227,0.9215340614318848,0.005736024525024693,9,3,distance,"{'medfilt_kernel_size': 9, 'n_neighbors': 3, 'weights': 'distance'}",0.89,0.9,0.88,0.88,0.92,0.8939999999999999,0.014966629547095779,26,0.9622641509433962,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9801686069851465,0.018024129612332834,13,0.8085106382978723,0.782608695652174,0.7931034482758621,0.7659574468085106,0.8867924528301887,0.8073945363729216,0.04204968563987904,26,0.85,0.84375,0.7777777777777778,0.8253968253968254,0.8823529411764706,0.8358555088702146,0.03437094045683255,26,5.745098039215686,8.444444444444445,5.357142857142857,7.865384615384615,11.355555555555556,7.753525102348631,2.155965333989911,17,9.954490832558255,22.139847323461222,12.18863918450571,22.96571763282246,37.57313198169112,20.964365391007753,9.792538021140603,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
26,2.8270770072937013,0.27820295292274516,4.204192590713501,0.0028288554296647937,9,5,uniform,"{'medfilt_kernel_size': 9, 'n_neighbors': 5, 'weights': 'uniform'}",0.93,0.93,0.91,0.93,0.94,0.9280000000000002,0.009797958971132694,14,0.9622641509433962,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9801686069851465,0.018024129612332834,13,0.8936170212765957,0.8478260869565217,0.8448275862068966,0.8723404255319149,0.9245283018867925,0.8766278843717442,0.02980693064343153,14,0.9107142857142857,0.8852459016393442,0.8235294117647058,0.896551724137931,0.9183673469387755,0.8868817340390086,0.03367205290067385,14,5.764705882352941,8.574074074074074,6.523809523809524,8.23076923076923,11.377777777777778,8.094227297756708,1.9454296385432994,11,9.965800805645703,22.144811157011436,13.180501643820937,23.206112742961786,37.589176272425895,21.217280524373155,9.633694490579524,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
