,cv_step,n_neighbors,weights,th_majority,th_mode,th_multiplier,mk_size,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
83,0,3,uniform,0.3,daytime,1.1,7,0.767,0.481,1.0,1.0,20.231,10.467,24.0
84,0,3,uniform,0.3,daytime,1.15,3,0.833,0.63,1.0,1.0,18.294,10.862,21.0
85,0,3,uniform,0.3,daytime,1.15,5,0.783,0.519,1.0,1.0,17.714,11.517,21.5
86,0,3,uniform,0.3,daytime,1.15,7,0.767,0.481,1.0,1.0,20.231,10.467,24.0
87,0,3,uniform,0.3,daytime,1.2,3,0.817,0.593,1.0,1.0,18.375,11.191,21.5
88,0,3,uniform,0.3,daytime,1.2,5,0.783,0.519,1.0,1.0,17.714,11.517,21.5
89,0,3,uniform,0.3,daytime,1.2,7,0.767,0.481,1.0,1.0,20.231,10.467,24.0
90,0,3,uniform,0.4,simple,1.0,3,0.783,0.519,1.0,1.0,18.214,11.277,21.5
91,0,3,uniform,0.4,simple,1.0,5,0.767,0.481,1.0,1.0,18.385,11.685,22.0
92,0,3,uniform,0.4,simple,1.0,7,0.767,0.481,1.0,1.0,20.308,10.498,25.0
93,0,3,uniform,0.4,simple,1.05,3,0.783,0.519,1.0,1.0,18.214,11.277,21.5
94,0,3,uniform,0.4,simple,1.05,5,0.767,0.481,1.0,1.0,18.462,11.705,22.0
95,0,3,uniform,0.4,simple,1.05,7,0.767,0.481,1.0,1.0,20.385,10.507,25.0
96,0,3,uniform,0.4,simple,1.1,3,0.783,0.519,1.0,1.0,18.214,11.277,21.5
97,0,3,uniform,0.4,simple,1.1,5,0.767,0.481,1.0,1.0,20.385,10.507,25.0
98,0,3,uniform,0.4,simple,1.1,7,0.767,0.481,1.0,1.0,20.385,10.507,25.0
99,0,3,uniform,0.4,simple,1.15,3,0.783,0.519,1.0,1.0,18.214,11.277,21.5
100,0,3,uniform,0.4,simple,1.15,5,0.767,0.481,1.0,1.0,20.385,10.507,25.0
101,0,3,uniform,0.4,simple,1.15,7,0.767,0.481,1.0,1.0,20.385,10.507,25.0
102,0,3,uniform,0.4,simple,1.2,3,0.783,0.519,1.0,1.0,18.214,11.277,21.5
103,0,3,uniform,0.4,simple,1.2,5,0.767,0.481,1.0,1.0,20.462,10.544,25.0
104,0,3,uniform,0.4,simple,1.2,7,0.767,0.481,1.0,1.0,20.462,10.544,25.0
105,0,3,uniform,0.4,daytime,1.0,3,0.817,0.593,1.0,1.0,17.375,10.827,20.0
106,0,3,uniform,0.4,daytime,1.0,5,0.767,0.481,1.0,1.0,18.308,11.756,22.0
107,0,3,uniform,0.4,daytime,1.0,7,0.767,0.481,1.0,1.0,20.154,10.56,24.0
108,0,3,uniform,0.4,daytime,1.05,3,0.8,0.556,1.0,1.0,17.667,11.086,21.0
109,0,3,uniform,0.4,daytime,1.05,5,0.767,0.481,1.0,1.0,18.385,11.685,22.0
110,0,3,uniform,0.4,daytime,1.05,7,0.767,0.481,1.0,1.0,20.231,10.467,24.0
111,0,3,uniform,0.4,daytime,1.1,3,0.8,0.556,1.0,1.0,17.667,11.086,21.0
112,0,3,uniform,0.4,daytime,1.1,5,0.767,0.481,1.0,1.0,18.385,11.685,22.0
113,0,3,uniform,0.4,daytime,1.1,7,0.767,0.481,1.0,1.0,20.231,10.467,24.0
114,0,3,uniform,0.4,daytime,1.15,3,0.8,0.556,1.0,1.0,17.667,11.086,21.0
115,0,3,uniform,0.4,daytime,1.15,5,0.767,0.481,1.0,1.0,18.385,11.685,22.0
116,0,3,uniform,0.4,daytime,1.15,7,0.767,0.481,1.0,1.0,20.231,10.467,24.0
117,0,3,uniform,0.4,daytime,1.2,3,0.8,0.556,1.0,1.0,17.667,11.086,21.0
118,0,3,uniform,0.4,daytime,1.2,5,0.767,0.481,1.0,1.0,18.385,11.685,22.0
